t,x,y,z,ex,ey,ez,eox,eoy,eoz,force_on,wall_contact,tau1,tau2,tau3,tau4,tau5,tau6,tau7
2.1189999999998776,0.5538147742942108,0.0001070827601902885,0.6266953103911342,-0.0006847037375244946,0.0001070827601902885,0.002192880903544858,-0.0003943899886399891,0.07256210264485963,0.00036300131844943534,0.0,0.0,-0.018700505544430507,-25.68580318282164,0.00926772140085225,18.27506996604395,0.7459944195275777,1.781036827102889,-0.0044884768130958675
2.1199999999998775,0.5538058799225695,0.00010679216435926703,0.6266847532613031,-0.000693598109165805,0.00010679216435926703,0.0021823237737137458,-0.00039455230280861694,0.07241682458432738,0.0003623345428624547,0.0,0.0,-0.01863004097620815,-25.683469087156194,0.00924041297983267,18.275790709951842,0.7459791309429216,1.7806119638075193,-0.004481195986953321
2.1209999999998774,0.5537970756334942,0.0001065015515554969,0.6266742606111693,-0.0007024023982410421,0.0001065015515554969,0.0021718311235798815,-0.0003947104226730618,0.07227179781701226,0.0003616686263370361,0.0,0.0,-0.018559723246133385,-25.68115357066276,0.009213429571896425,18.276508324786757,0.7459638403673102,1.7801884145083209,-0.004473934288890978
2.1219999999998773,0.5537883611369874,0.00010621092847100681,0.6266638320793627,-0.0007111168947478985,0.00010621092847100681,0.0021614025917733315,-0.00039486436514695486,0.07212702236025598,0.00036100356801829764,0.0,0.0,-0.018489551891702188,-25.678856586686976,0.009186770114549096,18.27722284278778,0.7459485488853551,1.7797661772803108,-0.004466691697484842
2.122999999999877,0.553779736142406,0.0001059203017052421,0.6266534673055955,-0.0007197418893292173,0.0001059203017052421,0.002151037818006074,-0.00039501414718361714,0.07198249822836625,0.0003603393670542872,0.0,0.0,-0.01841952644909356,-25.676578088113917,0.009160433546183379,18.277934295861655,0.7459332575687309,1.7793452501737697,-0.004459468189898456
2.123999999999877,0.5537712003584687,0.00010562967776508277,0.6266431659306706,-0.000728277673266553,0.00010562967776508277,0.002140736443081215,-0.00039515978577966986,0.07183822543263174,0.0003596760225963153,0.0,0.0,-0.01834964645312288,-25.674318027372223,0.009134418806137825,18.27864271558435,0.7459179674763701,1.7789256312147637,-0.00445226374189966
2.124999999999877,0.5537627534932645,0.00010533906306681099,0.6266329275964944,-0.0007367245384707344,0.00010533906306681099,0.002130498108904977,-0.00039530129797164793,0.0716942039813327,0.00035901353379784505,0.0,0.0,-0.018279911437608178,-25.67207635643814,0.009108724834358359,18.279348133202046,0.7459026796544204,1.7785073184053184,-0.004445078327899985
2.125999999999877,0.5537543952542588,0.00010504846393619586,0.6266227519460832,-0.0007450827774764246,0.00010504846393619586,0.0021203224584938063,-0.0003954387008339891,0.07155043387975421,0.0003583518998179348,0.0,0.0,-0.018210320935393796,-25.669853026839796,0.009083350571439792,18.280050579632885,0.7458873951363155,1.7780903097240053,-0.004437911920903529
2.1269999999998768,0.5537461253483035,0.00010475788660975561,0.6266126386235762,-0.0007533526834317961,0.00010475788660975561,0.002110209135986807,-0.0003955720114790742,0.07140691513019673,0.0003576911198162397,0.0,0.0,-0.0181408744784988,-25.66764798966118,0.009058294958509704,18.280750085467965,0.7458721149428404,1.777674603126041,-0.004430764492622755
2.1279999999998767,0.5537379434816428,0.00010446733723545384,0.626602587274242,-0.0007615345500924242,0.00010446733723545384,0.0021001577866526233,-0.00039570124705572455,0.07126364773199191,0.00035703119295623384,0.0,0.0,-0.018071571598249823,-25.665461195546676,0.009033556937099424,18.281446680973133,0.7458568400821888,1.7772601965438972,-0.004423636013440954
2.1289999999998765,0.5537298493599211,0.00010417682187346029,0.6265925975444908,-0.000769628671814182,0.00010417682187346029,0.0020901680569014314,-0.0003958264247459394,0.07112063168151134,0.0003563721184050979,0.0,0.0,-0.018002411825408238,-25.663292594704334,0.009009135449112728,18.282140396089854,0.7458415715499738,1.7768470878874905,-0.004416526452422193
