t,x,y,z,ex,ey,ez,eox,eoy,eoz,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ax,ay,az
4.880999999999965,0.4383773428600327,0.29076923575779046,0.43135260275517573,0.0038778648282974393,-0.009230764242209533,0.006850173267586357,-0.04592261209344765,0.016552417755045873,-0.03759685576144369,0.00013180817367069712,-21.914223182934403,-0.45307533287098367,18.694821774809622,-0.07568235592256345,0.9901074494031237,-0.0473601271800799,-0.00020135435264654776,0.00013831911366201318,0.00029983931569486623
4.881999999999965,0.43837382134379876,0.2907776759856638,0.4313463443366817,0.0038743433120634885,-0.009222324014336203,0.006843914849092303,-0.04588104184280897,0.016537734013342173,-0.03756215751810822,0.00013139026025047886,-21.914534861674774,-0.4530110843450129,18.694730510019067,-0.07577765619487063,0.9900270363892409,-0.04729817722942606,-0.00020097883141048005,0.00013807168049748928,0.0002992959932754509
4.882999999999965,0.43837030297878593,0.29078610848990977,0.4313400916324394,0.003870824947050655,-0.009213891510090222,0.006837662144850043,-0.0458395085460664,0.016523062933300952,-0.03752749127180999,0.00013097246090495394,-21.914846260090446,-0.4529468949562392,18.694639321956664,-0.07587286512974714,0.9899466978450622,-0.047236280782640194,-0.0002006040078399544,0.00013782467473199937,0.0002987536398261207
4.883999999999966,0.43836678776205756,0.2907945332775136,0.43133384463732233,0.003867309730322288,-0.0092054667224864,0.006831415149732956,-0.04579801217182015,0.016508404504491668,-0.03749285699349194,0.00013055477676018814,-21.91515737840829,-0.452882764652751,18.694548210571728,-0.07596798281706114,0.9898664337020515,-0.04717443779864071,-0.00020022988066722923,0.00013757809575090608,0.00029821225371432376
4.884999999999966,0.4383632756906831,0.29080295035545534,0.43132760334620546,0.003863797658947843,-0.009197049644544653,0.006825173858616085,-0.045756552688696175,0.01649375871649158,-0.03745825465412255,0.00013013720908708928,-21.915468216856024,-0.4528186933825223,18.69445717581396,-0.07606300934654295,0.9897862438916919,-0.04711264823634656,-0.00019985644862679242,0.00013733194293993314,0.0002976718333099421
4.885999999999966,0.4383597667617354,0.2908113597307095,0.43132136775396834,0.0038602887300001054,-0.009188640269290504,0.006818938266378971,-0.04571513006534321,0.016479125558885935,-0.03742368422469469,0.00012971975903684378,-21.915778775661284,-0.4527546810936804,18.694366217632865,-0.07615794480783791,0.9897061283455602,-0.04705091205469186,-0.00019948371045536137,0.0001370862156851603,0.00029713237698529376
4.886999999999967,0.43835626097229113,0.2908197614102445,0.4313151378554946,0.0038567829405558585,-0.009180238589755474,0.006812708367905207,-0.04567374427043299,0.016464505021268904,-0.03738914567622543,0.0001293024278463922,-21.91608905505184,-0.4526907277342357,18.694275335977892,-0.0762527892905362,0.9896260869952858,-0.04698922921263157,-0.000199111664891876,0.00013684091337302546,0.00029659388311512817
4.887999999999967,0.4383527583194323,0.29082815540102447,0.4313089136456709,0.0038532802876970473,-0.00917184459897552,0.006806484158081549,-0.045632395272661504,0.01644989709324169,-0.03735463897975763,0.00012888521667936742,-21.916399055255894,-0.45262683325231606,18.694184530798537,-0.07634754288413455,0.98954611977254,-0.04692759966913719,-0.00019874031067749148,0.00013659603539032688,0.00029605635007661727
4.888999999999967,0.4383492588002454,0.29083654171000706,0.43130269511938774,0.0038497807685101137,-0.009163458289992932,0.006800265631798363,-0.04559108304074984,0.016435301764415315,-0.03732016410635874,0.00012846812687667281,-21.916708776501952,-0.4525629975958928,18.69409380204437,-0.07644220567801858,0.9894662266090462,-0.04686602338322053,-0.00019836964655557793,0.00013635158112422052,0.0002955197762493548
4.889999999999968,0.4383457624118199,0.2908449203441446,0.43129648227153944,0.003846284380084608,-0.00915507965585538,0.006794052783950066,-0.045549807543439784,0.016420719024407202,-0.03728572102711984,0.00012805115962364098,-21.917018219018413,-0.45249922071308246,18.694003149664805,-0.07653677776151266,0.9893864074366087,-0.0468045003138637,-0.00019799967127171643,0.00013610754996221672,0.00029498416001534975
4.890999999999968,0.4383422691512513,0.2908532913103848,0.43129027509702356,0.0038427911195160203,-0.009146708689615202,0.006787845609434184,-0.04550856874949955,0.016406148862844052,-0.03725130971315873,0.00012763431618415953,-21.91732738303433,-0.45243550255196296,18.693912573609392,-0.07663125922384789,0.9893066621870605,-0.04674303042010744,-0.0001976303835736928,0.0001358639412921874,0.0002944494997590272
4.891999999999968,0.4383387790156376,0.2908616546156685,0.431284073590742,0.0038393009839023384,-0.009138345384331503,0.006781644103152629,-0.045467366627719163,0.016391591269359213,-0.03721693013561545,0.00012721759781745374,-21.917636268778512,-0.45237184306060646,18.693822073827498,-0.07672565015415048,0.9892269907923154,-0.046681613660962865,-0.00019726178221149296,0.00013562075450235743,0.00029391579386721487
4.892999999999969,0.4383352920020831,0.29087001026693216,0.4312778777475996,0.0038358139703478233,-0.009129989733067834,0.006775448260010253,-0.04542620114691298,0.016377046233595812,-0.037182582265657134,0.00012680100588527795,-21.917944876480426,-0.45230824218700727,18.69373165026866,-0.07681995064149975,0.9891473931843011,-0.0466202499955127,-0.00019689386593729964,0.00013537798898131568,0.00029338304072915077
4.893999999999969,0.43833180810769423,0.29087835827110636,0.43127168756250595,0.0038323300759589563,-0.009121641728893626,0.006769258074916573,-0.04538507227591953,0.01636251374520399,-0.037148266074473815,0.00012638454155495523,-21.918253206369336,-0.4522446998793888,18.693641302882206,-0.0769141607748424,0.9890678692950642,-0.04655893938281229,-0.00019652663350548883,0.00013513564411800198,0.0002928512387364677
4.894999999999969,0.4383283273295836,0.2908866986351165,0.43126550303037275,0.0038288492978483246,-0.009113301364883475,0.006763073542783382,-0.04534397998359921,0.016347993793843014,-0.03711398153328144,0.0001259682062063967,-21.918561258675137,-0.4521812160857405,18.693551031617684,-0.07700828064309215,0.988988419056664,-0.046497681781968475,-0.00019616008367262327,0.00013489371930171845,0.0002923203862831973
4.89599999999997,0.4383248496648673,0.29089503136588213,0.43125932414611684,0.003825371633132013,-0.00910496863411786,0.006756894658527468,-0.04530292423883784,0.016333486369178835,-0.03707972861331958,0.00012555200117738362,-21.91886903362762,-0.45211779075413583,18.693460836424414,-0.07710231033502317,0.9889090424011987,-0.04643647715206478,-0.00019579421519744903,0.00013465221392212315,0.00029179048176576026
4.89699999999997,0.4383213751106656,0.29090335647031773,0.4312531509046577,0.0038218970789303253,-0.009096643529682258,0.006750721417068339,-0.04526190501054355,0.01631899146088674,-0.0370455072858542,0.00012513592777933265,-21.919176531456994,-0.45205442383268174,18.69337071725188,-0.07719624993938691,0.9888297392608585,-0.046375325452266344,-0.0001954290268408943,0.00013441112736923094,0.00029126152358296644
4.89799999999997,0.43831790366410267,0.29091167395533185,0.43124698330091926,0.003818425632367395,-0.009088326044668138,0.00674455381332989,-0.045220922267649157,0.016304509058649757,-0.03701131752217234,0.00012471998728958426,-21.919483752393475,-0.45199111526952507,18.693280674049443,-0.0772900995447606,0.9887505095679141,-0.046314226641669495,-0.0001950645173660637,0.00013417045903341178,0.0002907335101360074
4.898999999999971,0.4383144353223077,0.2909199838278279,0.43124082132982844,0.003814957290572407,-0.009080016172172078,0.0067383918422390665,-0.04517997597911029,0.016290039152158386,-0.03697715929358958,0.00012430418112659378,-21.91979069666768,-0.45192786501271,18.693190706766533,-0.07738385923971053,0.9886713532546169,-0.04625318067945594,-0.00019470068553822676,0.00013393020830539907,0.00029020643982845517
